dataset,model,init_lr,weight_decay,hiddden,dropout,epochs,avg_degree,isolated_nodes,h_ratio,acc,F1,D_sp,D_eo,acc_std,F1_std,D_sp_std,D_eo_std
Recidivism,gcn,0.0001,0.0001,32,0.5,2000,33.02691,0,0.51051,0.81748,0.72112,0.07209,0.01553,0.00224,0.00174,0.00439,0.00475
Recidivism,gcn,0.0001,0.00001,32,0.5,2000,33.02691,0,0.51051,0.81748,0.72111,0.07209,0.01614,0.002,0.00184,0.00425,0.00377
Recidivism,sage,0.01,0.0001,32,0.2,2000,33.02691,0,0.51051,0.98454,0.9529,0.07951,0.01378,0.0037,0.05344,0.0126,0.00711
Recidivism,appnp,0.001,0.0001,32,0.2,2000,33.02691,0,0.51051,0.91631,0.91872,0.0684,0.01577,0.06945,0.05362,0.01738,0.01123
Credit,gcn,0.01,0.00001,32,0.2,2000,9.12667,0,0.85814,0.79421,0.87982,0.0088,0.00864,0.00157,0.00045,0.00406,0.00352
Credit,sage,0.0001,0.00001,32,0.5,2000,9.12667,0,0.85814,0.81484,0.88481,0.02088,0.01542,0.00314,0.00091,0.01007,0.01118
Credit,appnp,0.01,0.00001,32,0.2,2000,9.12667,0,0.85814,0.80126,0.88155,0.01675,0.00585,0.00388,0.00125,0.01201,0.00521
German,gcn,0.01,0.0001,32,0.2,2000,86.968,0,0.66999,0.713,0.82927,0.05515,0.00211,0.01059,0.00577,0.04309,0.00667
German,sage,0.0001,0.00001,32,0.5,2000,86.968,0,0.66999,0.689,0.79378,0.12293,0.06393,0.03213,0.02485,0.05823,0.06749
German,appnp,0.0001,0.00001,32,0.5,2000,86.968,0,0.66999,0.719,0.82769,0.07291,0.02186,0.01449,0.00917,0.03438,0.01817
